Hops,Time to Compute,Traveled,Ping
5,0.472992,17732343.942081194,59.14873302242533
5,0.480491,17816895.676348977,59.430767251691535
5,0.492991,18406648.788478237,61.39797189719223
4,0.402994,17708781.09698224,59.070135830843725
5,0.509491,19473814.257760927,64.95765276281979
5,0.492992,17058704.71604175,56.90171441819654
5,0.485991,17561100.195967846,58.57752536630824
5,0.488992,18203159.08606188,60.71920330797744
5,0.504991,18239372.144652467,60.839997070014554
5,0.500492,17768289.377594467,59.268634089960116
5,0.499992,18079035.965233278,60.305173140291686
5,0.491492,18676396.232167277,62.29775252305641
5,0.508491,17975235.21231464,59.95893109569989
5,0.479492,17300522.240171067,57.70833085997023
5,0.488991,17045591.834135395,56.85797455201939
5,0.499991,17893010.41900744,59.68465870604643
5,0.496495,17594761.727059003,58.68980814867137
5,0.482992,17435234.904691312,58.15768394349227
5,0.482511,17334963.296353802,57.82321385816927
5,0.488492,17110553.16256278,57.074662220862486
5,0.485492,17340627.676714405,57.84210819739375
5,0.479491,17511527.525537822,58.41216873561963
5,0.482492,18453525.70214861,61.55433645117677
5,0.494991,17905225.48197882,59.725403770596614
5,0.502491,17488777.409135673,58.33628251518001
5,0.491493,17460673.71113988,58.24253866861773
5,0.48954,18366564.34939543,61.26426459975841
5,0.477494,17964770.61712009,59.92402496319017
5,0.495547,17666793.24627796,58.93007943561448
5,0.489487,18384253.230762903,61.323268357236124
5,0.500009,18401598.51959564,61.38112601337654
5,0.498991,18069511.463822108,60.27340282312543
5,0.501992,17273927.30792485,57.61961971426276
5,0.481992,17164378.115126,57.254202938068595
5,0.478502,18589071.838284537,62.00646969677095
5,0.485992,17252290.778114416,57.547448018886826
5,0.501992,18366058.021763727,61.26257567256371
5,0.482491,17505793.591459148,58.39304239016324
5,0.488991,17280149.60374853,57.64037505916603
5,0.482493,16962924.978052318,56.582227599657536
5,0.481013,17679054.59673003,58.97097889858186
5,0.521491,18921033.830418717,63.11377571962223
5,0.510494,18707405.5757191,62.40118855999198
5,0.510988,17224333.723151058,57.454193320832125
5,0.520993,17427288.28748871,58.13117688154471
5,0.501491,18363582.629219517,61.25431865176593
5,0.495992,17919281.30440664,59.77228894781341
5,0.504491,17472648.107233435,58.28248095486911
5,0.503992,17434302.473759264,58.154573688669686
5,0.491993,17218693.08006654,57.43537816063837
5,0.521991,17925798.36021158,59.79402750618775
5,0.495992,18171401.79371954,60.61327238240958
5,0.495492,17257372.218922038,57.56439788105287
5,0.478033,17691857.65673258,59.01368531012195
5,0.50749,17342048.29248169,57.846846861555754
5,0.498492,16972853.313657,56.615344962706466
5,0.495993,17114903.692337066,57.089174026237224
5,0.491018,16932008.085767046,56.47909994695479
5,0.487491,17374718.378043722,57.95582253758821
5,0.495515,17692085.853536814,59.01444649273234
5,0.480491,17465130.17182505,58.25740382147925
5,0.493991,17498887.878994863,58.37000741271109
5,0.482991,17067392.554809775,56.930693929168704
5,0.478992,18043831.30918364,60.187743047088674
5,0.49249,17975752.751077794,59.96065741920402
5,0.491491,17759016.77400866,59.237704013501464
5,0.498998,17893312.167557325,59.68566523087334
5,0.488491,17731555.139447458,59.14610186003966
5,0.484991,18060318.3284839,60.24273782420962
5,0.489993,17397566.95742131,58.03203719516314
5,0.496992,16988586.07735403,56.66782381393222
5,0.494493,17450330.378122337,58.208037023194265
5,0.492992,17209524.717592288,57.40479579510262
5,0.488993,17709169.567542672,59.07143162916238
5,0.510992,18608447.20937437,62.07109897846919
5,0.478992,16825196.327603646,56.12281426989492
5,0.493991,17568168.87146572,58.60110392993251
5,0.481492,17557764.21431266,58.56639772920991
5,0.493491,17779594.441170573,59.30634372324089
5,0.493493,19223765.79655825,64.12358087008784
5,0.496492,18143800.632015936,60.52120481649457
