werkzeug - INFO -  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQiO&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQj1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQjD&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQiu&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQjP&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQji&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQjT&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQjv&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /static/Workers/cesiumWorkerBootstrapper.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /static/Workers/transferTypedArrayTest.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQkQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQkk&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQlB&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQkx&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQlQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQlW&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQlt&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQm0&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQmE&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQme&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQmO&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQmp&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:57] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQn8&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQmw&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQnK&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQnf&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQnQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQnr&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQoD&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQo1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQoO&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQom&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQoZ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /static/Workers/createVerticesFromQuantizedTerrainMesh.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQoy&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQpQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQp8&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQpe&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQq1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQpj&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQqF&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQqK&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQrD&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQrJ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQr-&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQs5&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /static/Workers/upsampleQuantizedTerrainMesh.js HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQsl&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQsx&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQtI&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQtz&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQuD&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQue&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQv1&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "POST /socket.io/?EIO=3&transport=polling&t=Mb7FQvQ&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
werkzeug - INFO - 127.0.0.1 - - [03/Mar/2019 22:46:58] "GET /socket.io/?EIO=3&transport=polling&t=Mb7FQve&sid=a6f73661b9d2424ba1180123be8cc4b4 HTTP/1.1" 200 -
