Angle,Distance,Both,Traveled,Ping
0,0,4,17556753.719193146,58.56302708028499
0,0,4,18637526.772732418,62.168097961519145
0,2,2,17106544.682067774,57.06129136907893
1,0,3,17737293.042126846,59.1652414433232
0,1,3,17783736.060301654,59.320158677714204
0,0,4,17822816.314287666,59.45051637419344
0,0,4,18572154.83765348,61.95004065630484
0,0,4,17709866.60944296,59.07375671068574
0,2,2,16929444.020754427,56.47054714663809
0,2,2,17552075.792490676,58.547423196301764
0,1,3,18003288.732920587,60.052507568504616
0,1,3,17175386.677304044,57.29092354913709
0,0,4,17629014.444635537,58.80406291689854
0,0,4,17575021.862784214,58.62396304857056
0,1,3,17046310.917108513,56.86037315464841
0,1,3,16929700.309352767,56.471402033387946
0,0,4,17702238.768236976,59.048312971014106
0,1,3,18152714.84208904,60.550939420867344
0,0,4,17598720.555974033,58.70301338061033
0,1,3,18357735.270530127,61.23481396253055
0,0,4,17722844.952354856,59.11704780308033
0,1,3,17640060.995815404,58.840910245638085
0,2,2,17589575.717535716,58.67250948281272
0,0,4,18736088.335068453,62.496863947331796
0,1,3,18510129.11206459,61.74314510457391
0,0,4,18475316.25050742,61.62702189713347
0,1,3,18059037.513527192,60.23846548535962
0,0,4,17706421.897655874,59.06226638890431
0,0,4,18653730.718759857,62.22214850783256
0,0,4,17379565.42999096,57.971990562667656
0,1,3,17278663.435961474,57.63541773700094
1,1,2,17667275.30156486,58.93168739898132
0,1,3,17811853.50917131,59.41394839225478
0,1,3,17497187.00165395,58.364333896560595
0,1,3,18036957.492585957,60.16481446279607
1,0,3,19427612.449491203,64.80354011807155
1,0,3,17888501.486103654,59.669618524702486
0,1,3,17672903.74526377,58.95046186640457
0,1,3,17625812.434413504,58.79338216040201
0,0,4,17861348.03150044,59.57904434893599
0,0,4,17087559.649183694,56.9979641154936
0,2,2,17783887.04853087,59.3206623202382
0,2,2,17359474.94731299,57.90497592545487
0,1,3,17794296.339675467,59.35538397829286
0,1,3,17751745.51510776,59.21344970437734
0,0,4,17780697.88970257,59.31002443137719
0,1,3,16936430.171470165,56.49385043721769
0,0,4,17870113.103078064,59.60828148083241
0,0,4,18165743.422026843,60.59439808594397
0,1,3,17872777.54360279,59.617169097820096
0,1,3,17765010.945963375,59.25769841908022
0,0,4,17597019.372572146,58.697338843550305
1,0,3,19221669.6112778,64.11658874857679
0,0,4,17080934.28484823,56.975864278747
1,0,3,19038087.831252154,63.50422584100032
0,1,3,17701278.822953183,59.045110938192465
0,0,4,17451131.830213893,58.210710379629745
0,1,3,18047615.5978234,60.2003660753338
0,0,4,17639737.855456136,58.83983236541528
0,1,3,17086984.326289136,56.9960450448731
0,1,3,17102720.447096534,57.04853509421376
0,1,3,16813997.894904274,56.085460318935695
0,0,4,18706776.424884778,62.39908993869004
0,0,4,18154282.460848898,60.55616843423471
0,0,4,19164423.723494098,63.92563701967903
1,0,3,17253610.83480499,57.55185125407222
0,0,4,18783426.20164525,62.654766074718204
0,0,4,17973937.090413406,59.95460102709658
0,0,4,17382846.234394364,57.9829341482641
0,0,4,17912881.047636483,59.75093998908526
0,1,3,16998158.724794775,56.699754728967484
0,2,2,20345500.492441233,67.86528508389563
0,1,3,17109541.303361967,57.0712870218521
0,2,2,17615549.144044112,58.759147508515404
0,0,4,18810513.091814954,62.74511821543285
0,0,4,17147497.459728364,57.197895132252306
0,0,4,18436073.59829305,61.49612249846958
