Angle,Distance,Both,Time to Compute,Traveled,Ping
0,0,4,8.711375,19014044.249236867,63.42402508366277
0,0,4,9.35135,19033231.04135613,63.488025333619916
0,1,3,11.541316,17909356.511602268,59.739183402274364
1,1,2,8.273384,17943324.45201183,59.85248825611486
0,1,3,16.217724,17053740.482585035,56.88515551767265
0,2,2,15.339254,18942212.706009384,63.18442084483068
0,1,3,9.419361,17473765.322545417,58.286207584040795
0,1,3,12.102294,17115311.507199075,57.09053435020085
0,0,4,8.865859,17559754.552998792,58.573036784483975
1,0,3,9.811839,17384981.479559217,57.99005655952602
1,0,3,8.544863,19185361.404322624,63.99547760575611
0,0,3,4.432428,17235900.97094307,57.49277750652629
1,0,3,8.422866,17641761.05334474,58.8465810271915
0,1,3,12.912294,18432340.70482753,61.48367090607353
0,1,3,8.862358,17585397.842920378,58.65857359306059
0,1,3,11.550315,16942484.475877315,56.514045423068666
0,0,4,13.578283,18636750.25365279,62.165507772659865
0,1,3,8.561363,17200277.249328602,57.37394956105434
0,0,4,11.758311,18103893.56580303,60.38808917127331
0,0,3,4.549429,17269965.349617783,57.60640404379549
0,0,4,14.711263,17438622.384826742,58.168983361031415
0,0,4,8.848861,17821408.916409817,59.445821800165035
0,2,2,13.039289,17082309.73653917,56.980452291765374
0,2,2,13.952777,16974846.88513247,56.6219948014051
0,0,4,12.431802,17532113.315431736,58.48083553987675
0,1,3,9.524847,16590412.034621654,55.33965816211751
0,2,2,8.921857,16903937.621373404,56.385466955757565
0,0,4,8.639861,17782064.075264305,59.314581535915316
0,0,4,10.303335,17362068.734726142,57.91362786902864
0,1,3,14.837204,17689665.087668054,59.00637168691147
0,0,4,8.590363,17468131.184710722,58.267414123024906
0,0,4,8.409849,18814342.815714385,62.75789279939181
0,1,3,14.821265,17171705.40152151,57.278644134799414
0,0,4,11.415318,17738892.22440724,59.17057574126295
0,1,3,9.106855,16972633.222560007,56.61461081782527
0,0,4,11.694814,17755107.880018834,59.22466534654506
0,0,4,11.598813,17905260.973647553,59.72552215806109
0,1,3,14.263271,18025515.68407704,60.12664869751438
0,1,3,11.495315,18124193.05001634,60.455800962571054
0,1,3,9.562864,17318154.17666118,57.76714466978174
0,0,4,16.847208,18221203.943263646,60.779394473033854
0,1,3,9.234851,17614675.082009498,58.756231951378716
0,0,4,12.055307,17646786.066686276,58.86334266758959
0,2,2,12.466799,17293032.06742538,57.68334633285563
0,1,3,10.066839,17346677.0060316,57.86228658813082
